,index,yurtici_deci,altinkaya_cikis_deci,calculated_deci,total_weight_gr,total_volume_cm3
0,2,840,834,9.384,88325,28152
1,20,143,143,80.8,53750,242400
2,33,106,92,17.3,65000,112004
3,35,94,100,21.935,37076,65806.32
4,42,24,24,2.592,3000,7776
5,49,1,1,0.121,140,362.88
6,51,30,30,0.188,433,563.04
7,54,7,7,0.323,987.5,969.65
8,56,6,6,0.183,162,550
9,58,4,4,0.063,155,188.6
10,64,19,19,4.25,2570,12748.75
11,65,2,2,0.209,170,625.664
12,66,3,3,0.9,364,2700
13,67,1,1,0.746,507.5,2238.336
14,68,4,4,0.09,780,2700
15,69,1,1,0.283,794,848.64
16,70,1,1,0.58,400,173.728
17,73,1,1,0.75,214,224.25
18,74,1,1,0.75,214,224.25
19,75,1,1,0.67,505,201.96
20,77,1,1,0.412,256,1235
21,82,6,6,3.591,9450,10773
22,83,3,3,2.041,1000,6123.2
23,92,3,3,1.152,840,3456
24,93,4,4,0.077,160,232.2
25,94,14,14,4.8,984,1452
26,96,1,1,0.436,321,1307.25
27,97,1,1,0.199,218,598
28,98,3,3,2.27,1004,6810.3
29,100,14,14,12.261,6980,36784
30,102,54,54,31.832,15200,95497
31,105,2,2,1.1,684,3300
32,110,24,20,15.704,3680,47110.68
33,111,2,2,0.47,105.5,140.76
34,116,4,4,0.759,173.2,225.216
35,117,2,2,0.722,462,2165.625
36,125,2,2,0.312,220,937.44
37,127,72,72,67.069,32040,201208.352
38,129,5,5,0.391,2750,1171.8
39,131,1,1,0.495,390,1485
40,140,183,183,9.405,8065,28215
41,141,2,2,0.869,379,2605.68
42,143,195,95,54.172,29000,162516.2
43,144,20,20,2.622,1090,7866
44,145,12,12,0.741,495,2223.01
45,147,2,2,0.883,934.4,2649.6
46,149,12,6,11.066,5040,3001.99
47,150,1,2,0.497,520,1490.4
48,152,2,2,0.024,492,726
49,154,2,3,1.342,1100,4025
50,155,3,3,0.797,556,2390.528
51,156,1,1,0.37,277.5,1110.144
52,157,3,2,1.386,558,4158
53,158,2,2,0.68,775,2040
54,160,8,8,0.057,3600,170.52
55,162,2,4,0.031,339,93.28
56,163,1,1,0.599,230,1796.07
57,171,40,20,9.828,8408.4,29484
58,173,116,112,4.884,8100,14651
59,174,37,37,19.933,21800,59800
60,175,4,3,2.448,1140,7344
61,176,4,3,2.448,1140,7344
62,178,1,2,0.32,651,960
63,179,12,12,6.931,816,20793.6
64,181,8,8,5.5,3420,16500
65,184,6,6,4.127,3000,12381.6
66,185,2,2,0.02,630,595.35
67,191,11,10,4.95,2661,14850
68,194,1,1,0.464,250.8,1391.28
69,196,1,1,0.873,417,2618.7
70,197,1,1,0.873,417,2618.7
71,200,12,12,4.212,3750,12635
72,203,3,3,1.575,1185,4725
73,204,45,40,26.264,21636,78791.1
74,206,12,10,0.251,6240,754.4
75,207,82,82,68.06,66953,204180
76,209,3,3,2.556,1200,7668
77,228,2,2,1.456,789.2,4368
78,229,10,10,4.914,4204.2,14742
79,230,57,42,2.836,1680,8509.35
80,231,25,25,14.22,9050,42660
81,232,10,10,0.282,6449.5,844.56
82,234,5,5,2.389,1800,7168
83,235,3,3,0.2,1400,1590.4
84,236,2,30,1.35,546,4050
85,238,10,10,4.133,2250,12400
86,239,3,3,0.96,472.5,2880
87,242,3,3,2.448,1140,7344
88,246,7,7,1.613,7500,4838.4
89,247,3,3,2.489,1890,7466.4
90,249,1,1,0.374,637,1122
91,250,1,1,0.402,330,1207.5
92,253,4,4,1.6,1680,4664
93,255,3,3,1.56,1260,168.912
94,262,4,4,3.204,1828,9613.5
95,263,10,177,1.804,1755,5412
96,265,36,36,5.472,3900,16416
97,266,40,1,29.266,15585,87796.8
98,267,26,28,18.708,5934,56125.5
99,268,5,5,0.152,1400,455
100,272,9,9,7.41,3470,22230
101,274,74,3,0.875,1300,2625
102,276,1,1,0.284,168,850.935
103,277,1,1,0.56,329.6,1680
104,279,1,2,0.72,1580,2160
105,280,98,100,19.938,11670,59812.5
106,283,1,1,0.467,211.1,1402.443
107,285,1,1,0.48,400,144.072
108,286,82,81,40.32,24395,120960
109,288,62,62,47.533,15270,142600
110,292,1,1,0.17,164,51.84
111,294,1,1,1.064,408,3190.784
112,295,5,5,0.67,312,3772
113,296,1,1,0.733,629.8,2200
114,305,25,26.6,14.22,9050,42660
115,308,1,1,0.161,320,483.6
116,311,2,2,1.4,792,4200
117,314,4,4,1.293,3950,3878.6
118,315,1,1,0.194,592.5,581.79
119,316,4,4,2.619,1251,7856.1
120,317,10,10,0.618,334.4,1855.04
121,319,125,125,43.193,34000,129580
122,325,3,3,2.564,1760,7692.42
123,327,6,6,3.501,1620,10503.18
124,332,10,10,1.643,1200,4930
125,335,35,35,29.92,9048,89760
126,341,14,13,13.375,6500,13125
127,342,8,8,8.234,218,867.36
128,343,1,1,0.328,240,982.6
129,344,9,9,4.453,444,1354.5
130,347,2,2,0.28,158.4,840
131,348,4,2,2.493,754,7480
132,349,15,15,11.67,5150,35010.6
133,350,1,1,0.365,402,1094.4
134,354,1,1,0.34,300,101.08
135,355,1,1,0.34,300,0.3
136,357,8,8,2.75,1710,8250
137,358,5,5,4.5,1820,13500
138,361,1,1,0.373,390,1117.8
139,365,1,1,0.74,314,2218.592
140,368,37,37,20.953,5644,62860.05
141,369,42,42,0.361,351,1082.4
142,374,101,64,45,18200,135000
143,375,5,3,0.408,240,1224
144,376,1,1,0.45,182,1350
145,378,2,2,10.427,539.5,31281.25
146,380,20,20,0.2,4327,504
147,385,21,21,8.68,2910,26040
148,386,30,30,19.938,11670,59812.5
149,390,2,2,0.587,378,1760.94
150,391,30,30,14.463,3580,13446
151,392,1,1,0.655,397.5,1965.6
152,394,1,1,0.327,0,981.75
153,395,20,13,0.18,400,540
154,398,3,4,1.638,523,4914
155,399,1,5,0.594,468,1782
156,400,2,4.5,0.875,1000,2625
157,401,1,1,0.592,340,1775.9
